IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
150098765,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Sunday,02-01-15,19:06,SOUTHERN,NONE,MISSION ST / DUBOCE AV,-122.4200102,37.77010993,"(37.7701099298175, -122.420010175609)",1.50099E+13
150098771,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Thursday,01/29/2015,03:00,MISSION,NONE,16TH ST / MISSION ST,-122.4196718,37.76505012,"(37.7650501214668, -122.419671780296)",1.50099E+13
150098787,SECONDARY CODES,DOMESTIC VIOLENCE,Sunday,02-01-15,18:17,BAYVIEW,NONE,BACON ST / HAMILTON ST,-122.4095283,37.72608496,"(37.7260849566228, -122.409528258798)",1.50099E+13
150098787,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Sunday,02-01-15,18:17,BAYVIEW,NONE,BACON ST / HAMILTON ST,-122.4095283,37.72608496,"(37.7260849566228, -122.409528258798)",1.50099E+13
150098812,LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO,Friday,01/30/2015,21:30,RICHMOND,NONE,6TH AV / ANZA ST,-122.4641471,37.7790877,"(37.7790877048755, -122.464147081977)",1.50099E+13
150098828,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,02-01-15,15:00,NORTHERN,NONE,1600 Block of WEBSTER ST,-122.4313095,37.78587063,"(37.7858706272526, -122.431309540727)",1.50099E+13
150098834,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Friday,01/30/2015,12:30,MISSION,NONE,2600 Block of 18TH ST,-122.4086757,37.7617912,"(37.761791195706, -122.40867573409)",1.50099E+13
150098840,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Sunday,02-01-15,19:46,TARAVAL,"ARREST, BOOKED",TARAVAL ST / 32ND AV,-122.4896204,37.74243631,"(37.7424363113581, -122.489620429341)",1.50099E+13
150098856,NON-CRIMINAL,COURTESY REPORT,Sunday,02-01-15,15:30,MISSION,UNFOUNDED,1000 Block of POTRERO AV,-122.4065391,37.75648641,"(37.7564864109309, -122.406539115148)",1.50099E+13
150098862,ASSAULT,BATTERY,Sunday,02-01-15,18:05,BAYVIEW,"ARREST, BOOKED",400 Block of RHODEISLAND ST,-122.4025712,37.76412591,"(37.7641259075201, -122.402571216964)",1.50099E+13
150098862,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Sunday,02-01-15,18:05,BAYVIEW,"ARREST, BOOKED",400 Block of RHODEISLAND ST,-122.4025712,37.76412591,"(37.7641259075201, -122.402571216964)",1.50099E+13
150098884,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,02-01-15,09:30,CENTRAL,NONE,2400 Block of JONES ST,-122.4164894,37.80359401,"(37.803594011382, -122.416489414289)",1.50099E+13
150098890,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Sunday,02-01-15,19:50,TENDERLOIN,NONE,100 Block of MASON ST,-122.4093368,37.78483373,"(37.7848337315521, -122.409336821846)",1.50099E+13
150098903,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Sunday,02-01-15,12:00,MISSION,NONE,2900 Block of 24TH ST,-122.4105198,37.75276673,"(37.752766726673, -122.410519781929)",1.50099E+13
